TOT_POP,Bachelor's degree or higher 2014-18,Population Aged 60+,STATE_FIPS,anycondition_number,Total Hospitals (2019)
8632.0,586.0,2226.0,54.0,4126.0,0.267683816
136271.0,27833.0,25788.0,48.0,41519.0,2.48310633
16272.0,1337.0,3691.0,29.0,6963.0,0.324034857
30772.0,4113.0,6464.0,51.0,11444.0,0.346820997
1039073.0,216291.0,245814.0,4.0,332209.0,12.02555996
65592.0,8842.0,15574.0,45.0,23910.0,0.890191767
23659.0,2451.0,6311.0,37.0,10847.0,0.255191157
74808.0,7402.0,9667.0,48.0,25149.0,1.363138293
277.0,29.0,32.0,48.0,93.0,0.005047446
125043.0,12385.0,23922.0,35.0,42375.0,2.446642404
7033.0,504.0,1622.0,21.0,3400.0,0.165263779
2113.0,510.0,907.0,26.0,904.0,0.030439635
3499.0,338.0,907.0,48.0,1307.0,0.063758166
46248.0,6293.0,10866.0,18.0,16720.0,0.912260504
1937570.0,679498.0,338720.0,6.0,426522.0,17.5844184
11049.0,951.0,3113.0,21.0,4801.0,0.259633086
97493.0,9666.0,25127.0,39.0,37964.0,1.61801068
2922.0,410.0,874.0,46.0,1025.0,0.188786434
7142.0,1082.0,1814.0,31.0,2253.0,0.344278763
55808.0,5329.0,14565.0,32.0,21671.0,0.809240204
35232.0,7113.0,5479.0,46.0,9170.0,2.276291464
20917.0,3409.0,5310.0,38.0,7243.0,1.07326363
15902.0,1515.0,3997.0,22.0,6610.0,0.539169069
24133.0,2805.0,6402.0,18.0,9016.0,0.476033185
40878.0,3879.0,9356.0,47.0,16595.0,0.694381544
14539.0,1823.0,4297.0,19.0,5142.0,0.543575153
1308.0,71.0,285.0,28.0,725.0,0.04335868
45591.0,5706.0,10871.0,21.0,19101.0,1.071312518
43144.0,8532.0,11885.0,33.0,13923.0,0.890578256
15029.0,969.0,3219.0,13.0,5622.0,0.207159103
106727.0,15569.0,22968.0,47.0,42295.0,1.812937499
8729.0,1367.0,2463.0,20.0,3213.0,0.416736705
109826.0,20445.0,26110.0,26.0,37762.0,1.582140704
89786.0,25442.0,23734.0,33.0,25559.0,1.853362212
126348.0,31034.0,37339.0,25.0,40351.0,1.372920231
11481.0,2058.0,2909.0,38.0,4296.0,0.589096894
9338.0,1003.0,2183.0,46.0,3128.0,0.603315443
81643.0,14389.0,19330.0,30.0,28704.0,4.303856237
99696.0,27754.0,33612.0,6.0,30103.0,0.904791144
23920.0,2118.0,6134.0,1.0,10741.0,0.494268363
39944.0,4386.0,10695.0,54.0,19534.0,1.23868887
145864.0,27895.0,25269.0,13.0,46518.0,2.010583228
20184.0,2647.0,4949.0,21.0,8592.0,0.474290362
14307.0,998.0,3193.0,21.0,6495.0,0.336190656
21899.0,1893.0,5498.0,21.0,11012.0,0.514590003
15795.0,2562.0,4593.0,51.0,5651.0,0.178020201
45668.0,4996.0,11750.0,18.0,16559.0,0.90081977
15392.0,2342.0,5563.0,55.0,5839.0,0.35213074
726.0,131.0,229.0,48.0,275.0,0.013229045
13397.0,1754.0,4514.0,55.0,5144.0,0.306490094
8832.0,676.0,1693.0,21.0,3488.0,0.207537281
16428.0,1632.0,4371.0,28.0,7258.0,0.544569115
92560.0,21980.0,31925.0,34.0,33175.0,0.851984392
8315.0,856.0,2541.0,13.0,3520.0,0.11461361
34223.0,4418.0,8585.0,17.0,12494.0,0.502288738
6556.0,685.0,1260.0,17.0,2587.0,0.096221984
9864.0,1069.0,1826.0,48.0,3503.0,0.179740083
82764.0,7592.0,17636.0,22.0,32526.0,2.806174621
49208.0,5460.0,9283.0,48.0,17165.0,0.89665957
26447.0,2996.0,6305.0,36.0,9060.0,0.22465229
8591.0,817.0,1306.0,48.0,2690.0,0.1565437
15876.0,1015.0,3802.0,13.0,7452.0,0.218834115
228783.0,59442.0,39776.0,51.0,76314.0,2.578537243
7878.0,913.0,2090.0,20.0,2929.0,0.376108576
16513.0,2419.0,5638.0,16.0,5278.0,0.42360142
8991.0,1003.0,2759.0,55.0,3366.0,0.205691754
19779.0,3745.0,4356.0,51.0,6623.0,0.222922543
705388.0,258768.0,155147.0,25.0,183465.0,7.66487365
23933.0,2408.0,6578.0,51.0,9534.0,0.269740898
14523.0,1091.0,4171.0,51.0,6081.0,0.163683912
11881.0,1019.0,4182.0,26.0,5728.0,0.171156317
29206.0,2727.0,7527.0,29.0,12121.0,0.581597962
